szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
,Természettudományi kislexikon : A-Z,030 T46,,Akadémiai,1971,kézikönyv,http://nektar.oszk.hu/hu/manifestation/1060705,
Péter László (főszerk.),Új magyar irodalmi lexikon 1-3. köt.,030 U28,,Akadémiai,1994,magyar irodalom; kézikönyv,http://nektar.oszk.hu/hu/manifestation/101561,
Ancsel Éva,"Élet mint ismeretlen történet, Az",100 A56,,Atlantisz,1995,"filozófia; ontológia, sors",http://nektar.oszk.hu/hu/manifestation/129560,
András Sándor,Heidegger és a szent,100 A59,,Osiris-Századvég - Gond,1994,filozófia; Martin Heidegger; metafizika; egzisztencializmus,http://nektar.oszk.hu/hu/manifestation/103539,
"Anzenbacher, Arno",Bevezetés a filozófiába,100 A70,,Herder,1993,filozófiatörténet; lételmélet; logika; ismeretelmélet; etika; vallásfilozófia,http://nektar.oszk.hu/hu/manifestation/38935,
Aristoteles,Metafizika,100 A82,,Hatágú Síp Alapítvány,1992,ókori filozófia; ókori Görögország; Arisztotelész,http://nektar.oszk.hu/hu/manifestation/20928,
Arisztotelész,Kategóriák,100 A82,,Kossuth,1993,ókori görög filozófia; logika,http://nektar.oszk.hu/hu/manifestation/57071,
Arisztotelész,Politika,100 A82,,Gondolat,1994,ókori filozófia; Görögország; államelmélet; hatalom,http://nektar.oszk.hu/hu/manifestation/154618,
Arisztotelész,"Ta meta ta fysika = Metaphysica 1. Textus, fordítás, kommentár",100A A82,,Logos,1992,ókori görög filozófia; metafizika,http://nektar.oszk.hu/hu/manifestation/36826,
"Bacon, Francis",Novum Organum; Új Atlantisz,100 B12,,Nippon,1995,természetfilozófia; tudományfilozófia; utópia,http://nektar.oszk.hu/hu/manifestation/158699,
"Bergson, Henri",Teremtő fejlődés,100A B55,,Akadémiai,1987,francia filozófia; természetfilozófia; lételmélet; élet; halál,http://nektar.oszk.hu/hu/manifestation/578838,
"Besant, Annie","Élet rejtélye, Az (teozófiai megvilágitásban)",100 B59,,Pfeifer F.,1913,teozófia,http://nektar.oszk.hu/hu/manifestation/3273674,
Steiger Kornél (szerk.),Bevezetés a filozófiába : szöveggyűjtemény,100 B60,,Holnap,2001,filozófiatörténet; középiskolai tankönyv,http://nektar.oszk.hu/hu/manifestation/2701499,
"Boethius, Anicius Manlius Severinus","Filozófia vigasztalása, A",100 B73,,M. Helikon - Európa,1970,Anicius Manlius Torquatus Severinus Boethius; neoplatonizmus; ókori latin irodalom,http://nektar.oszk.hu/hu/manifestation/1208103,
Bolberitz Pál,Általános metafizika,100A B76,,Budapesti Római Katolikus Hittudományi Akadémia,1981,ontológia; lételmélet; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1529802,
Bolberitz Pál,Bevezetés a logikába,100A B76,,Budapesti Római Katolikus Hittudományi Akadémia,1981,logika; filozófia; következtetés; ítélet; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1529800,
Bolberitz Pál,Bevezetés a logikába,100A B76,,Jel,1998,logika; filozófia; következtetés; ítélet; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/340502,
Bolberitz Pál,Filozófiai istentan,100A B76,,Katolikus Hittudományi Akadémia,1981,filozófiatörténet; Isten léte; istenhit és ateizmus; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1529814,
Bolberitz Pál,Ismeretelmélet : [a megismerés filozófiája],100A B76,,Katolikus Hittudományi Akadémia,1981,filozófia; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1529801,
Bolberitz Pál,Kozmológia : az anyagi világ filozófiai szemlélete,100A B76,,Katolikus Hittudományi Akadémia,1982,felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1530370,
Bolberitz Pál,Lét és kozmosz : Az anyagi világ keresztény szemlélete (A függelékben: Pascual Jordan: Természeti törvény és szabadság),100 B76,,Ecclesia,1985,filozófia; lételmélet; ontológia; természetfilozófia; világnézet,http://nektar.oszk.hu/hu/manifestation/673993,
Bolberitz Pál,"Metafizika alapjai, A",100 B76,,Jel,2000,vallásfilozófia; beszédek; előadások; tanulmányok,http://nektar.oszk.hu/hu/manifestation/457432,
"Bolzano, Bernard","Lélek halhatatlansága, A avagy Athanázia; Mi a filozófia?",100 B76,,Szt. István Társ.,2001,vallásfilozófia,http://nektar.oszk.hu/hu/manifestation/922410,
"Campanella, Tommaso","Napváros, A; Vitás kérdések a legjobb köztársaságról",100 C11,,Nippon,1996,filozófia; politikatudomány; utópia,http://nektar.oszk.hu/hu/manifestation/185472,
"Croce, Benedetto","Szabadság hitvallása, A",100 C32,,Kossuth,1990,filozófia; Olaszország; tanulmányok,http://nektar.oszk.hu/hu/manifestation/602749,
Czente István,"Bölcselkedő magyar polgár, A",100 C94,,Werfer Ny.,1838,filozófia,http://nektar.oszk.hu/hu/manifestation/3044703,
Dankovich László et al.,Világnézetünk alapjai,100 D21,,Tankvk.,1968,marxista világnézet; tankönyv,http://nektar.oszk.hu/hu/manifestation/1318940,
"Davies, Paul",Isten gondolatai : egy racionális világ tudományos magyarázata,100 D31,,Kulturtrade,1995,természetfilozófia; kozmológia; világegyetem; evolúció; világ teremtése; istenhit,http://nektar.oszk.hu/hu/manifestation/161474,
"De Man, Paul",Esztétikai ideológia,100 D32,,Janus - Osiris,2000,művészfilozófia; irodalomelmélet; szép; Immanuel Kant; Blaise Pascal; Georg Friedrich Hegel; tanulmányok,http://nektar.oszk.hu/hu/manifestation/445236,
Dékány András,Gabriel Marcel,100 D41,,Kossuth,1982,filozófia; egzisztencializmus; életrajz,http://nektar.oszk.hu/hu/manifestation/599340,
"Descartes, René",Elmélkedések az első filozófiáról,100 D54,,Atlantisz,1994,francia filozófia; etika; esztétika; ismeretelmélet; módszertan,http://nektar.oszk.hu/hu/manifestation/112945,
"Descartes, René","Filozófia alapelvei, A",100 D54,,Osiris,1996,ismeretelmélet; racionalizmus,http://nektar.oszk.hu/hu/manifestation/202380,
"Descartes, René","Test és lélek, morál, politika, vallás : válogatás a kései írásokból",100 D54,,Osiris,2000,filozófia; erkölcs; etika,http://nektar.oszk.hu/hu/manifestation/429315,
"Desgraves, Louis",Montesquieu,100 D54,,Osiris,2003,francia filozófia; életrajz,http://nektar.oszk.hu/hu/manifestation/964487,
"Dìes, Aguste",Plátó,100 D66,,Szt. István Társ.,1933,ókori filozófia; Görögország; Platón,http://nektar.oszk.hu/hu/manifestation/2897773,
Diószegi György,"Bölcselet eredete, A",100 D67,,Gondolat,1979,filozófiatörténet; művelődéstörténet; ókori filozófia; Görögország,http://nektar.oszk.hu/hu/manifestation/658433,
"Dunn, John",Locke,100 D97,,Atlantisz,1992,filozófiatörténet; életrajz,http://nektar.oszk.hu/hu/manifestation/34852,
"Engelmann, Peter",Hegel - filozófia és totalitarizmus,100 E57,,Osiris,1997,tudományfilozófia; Németország; életrajz,http://nektar.oszk.hu/hu/manifestation/221886,
"Engels, Friedrich","Hogyan ""forradalmasítja"" Eugen Düring úr a tudományt",100 E58,,Szikra,1948,marxizmus; kommunizmus; közgazdaságtan; filozófia; Anti-Dühring,http://nektar.oszk.hu/hu/manifestation/2964993,
Epiktétosz,Kézikönyvecske,100 E64,,Európa,1978,bölcsességek; filozófia; ókori görög irodalom,http://nektar.oszk.hu/hu/manifestation/587445,
"Erasmus, Desiderius Rotterdamus","Balgaság dícsérete, A",100 E65,,Európa,1987,filozófia; középkori latin irodalom,http://nektar.oszk.hu/hu/manifestation/592530,
Erdei László,"Ítélet dialektikus logikai elmélete, Az",100 E67,,Akadémiai,1971,logika,http://nektar.oszk.hu/hu/manifestation/1262141,
Erdey Ferenc,Kant valláserkölcsi világnézete,100 E77,,Szt. István Társ.,1929,filozófiatörténet; Németország,http://nektar.oszk.hu/hu/manifestation/2897494,
"Ettinger, Elzbieta",Hannah Arendt - Martin Heidegger : egy kapcsolat története,100 E96,,Osiris,2001,filozófiatörténet; német filozófia; életrajzok; levelek,http://nektar.oszk.hu/hu/manifestation/903399,
Felber Gyula,James és Schiller pragmatizmusa,100A F41,,szerző,1928,filozófia,http://nektar.oszk.hu/hu/manifestation/1542070,
Ferge Gábor,"Költészet mint a lét nyelve a filozófia és a teológia határterületén, A : utószó (Melléklet Heidegger, Martin ""Költemények a gondolkodás tapasztalatából"" c. művéhez)",100 F53,,Soc. Philosophia Classica,1995,Martin Heidegger; egzisztencializmus; ontológia; irodalomesztétika; metafizika,http://nektar.oszk.hu/hu/manifestation/172169,
"Feyerabend, Paul K.",Három dialógus a tudásról,100 F55,,Osiris,1999,tudományelmélet; tudományfilozófia,http://nektar.oszk.hu/hu/manifestation/365482,
"Fichte, Johann Gottlieb",Minden kinyilatkoztatás kritikájának kísérlete,100 F56,,L'Harmattan,2003,filozófia; etika; Németország,http://nektar.oszk.hu/hu/manifestation/1034575,
"Fichte, Johann Gottlieb",Válogatott filozófiai írások,100 F56,,Gondolat,1981,filozófiatörténet; német filozófia; idealizmus; tanulmányok,http://nektar.oszk.hu/hu/manifestation/658926,
Bánki Dezső (szerk.),Filozófiai kisenciklopédia : a Nyugat filozófiája és filozófusai,100A F57,,Kossuth,2003,kézikönyv,http://nektar.oszk.hu/hu/manifestation/953447,
Fila Lajos,"Dinamikus létfogalom teológiai alkalmazása, A : a doktori disszertáció átdolgozott változata",100 F57,,Örökmécs,2006,dogmatika; filozófia; lételmélet; kinyilatkoztatás,http://nektar.oszk.hu/hu/manifestation/2625585,
"Foucault, Michel","Szavak és a dolgok, A : a társadalomtudományok archeológiája ",100 F76,,Osiris,2000,filozófia; tudománytörténet; civilizáció,http://nektar.oszk.hu/hu/manifestation/423048,
Földesi Tamás,"Megismerhetőség modern problémái, A",100 F82,,Kossuth,1971,marxista filozófia; dialektikus materializmus; ismeretelmélet; Lukács György,http://nektar.oszk.hu/hu/manifestation/1261227,
"Gadamer, Hans-Georg",Igazság és módszer : Egy filozófiai hermeneutika vázlata,100A G16,,Gondolat,1984,német filozófia; ismeretelmélet; esztétika; ontológia; irodalomelmélet; nyelvfilozófia,http://nektar.oszk.hu/hu/manifestation/659554,
Gál Péter,"New Age - keresztény szemmel, A",100 G18,,Lámpás - Szegletkő,1994,vallástörténet; gnózis; asztrológia; okkultizmus; agykontroll; spiritizmus; szcientológia; szekták; eretnekség; nemkeresztény vallások; parapszichológia; jóga; természetgyógyászat,http://nektar.oszk.hu/hu/manifestation/99078,
"Guttmann, Jacob",Maimonidész - zsidó filozófia : zsidó és skolasztikus filozófusok a középkorban,100 G75,,Logos,1995,Mose ben Maimon; filozófiatörténet; vallásfilozófia; skolasztika; életrajz,http://nektar.oszk.hu/hu/manifestation/158867,
Gyenes István,Betegségek és csodák,100 G80,,Egyetemi Ny.,1964,babona; mágia,http://nektar.oszk.hu/hu/manifestation/1249117,
Hitseker Mária (szerk.),Thalésztól Anaxagoraszig,100 GG 1,,Kossuth,1992,filozófiatörténet; ókori filozófia; Görögország; szöveggyűjtemény; Görög gondolkodók sorozat,http://nektar.oszk.hu/hu/manifestation/19837,
Hitseker Mária (szerk.),Empedoklésztől Démokritoszig,100 GG 2,,Kossuth,1992,filozófiatörténet; ókori filozófia; Görögország; szöveggyűjtemény; Görög gondolkodók sorozat,http://nektar.oszk.hu/hu/manifestation/19840,
Hitseker Mária (szerk.),"Cinikus és a megarai filozófia, A",100 GG 3,,Kossuth,1994,filozófiatörténet; ókori filozófia; cinikusok; Görögország; logika; etika; szöveggyűjtemény; Görög gondolkodók sorozat,http://nektar.oszk.hu/hu/manifestation/100765,
Hitseker Mária (szerk.),"Kürénéi hedonizmus, A",100 GG 4,,Kossuth,1995,filozófiatörténet; ókori filozófia; Görögország; logika; etika; szöveggyűjtemény; Görög gondolkodók sorozat,http://nektar.oszk.hu/hu/manifestation/118646,
Theophrasztosz,"Érzékekről, Az; Jellemrajzok",100 GG 5,,Kossuth,1995,filozófiatörténet; ókori filozófia; Görögország; etika; érzékelés; szöveggyűjtemény; Görög gondolkodók sorozat,http://nektar.oszk.hu/hu/manifestation/128688,
Hajós József,"Bölcselet története, A",100 H14,,Vörösmarty Ny.,1941,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/1609155,
Hajós József,"Végtelen felé, A",100 H14,,Stephaneum Ny.,1930,természettudomány; csillagászat; istenérv; célszerűség; világrend; élet; ember származása; lélek; Isten; pesszimizmus; vallásfilozófia; vallástörténet; Egyház; örök élet; túlvilág,http://nektar.oszk.hu/hu/manifestation/1556515,
Halasy-Nagy József,"Filozófia, A",100 H16,,Akadémiai,1991,filozófiatörténet; hasonmás kiadás; tanulmányok,http://nektar.oszk.hu/hu/manifestation/585272,
Hamvas Béla,Silentium; Titkos jegyzőkönyv; Unicronis,100 H26,,Vigilia,1987,vallásfilozófia; kultúrfilozófia; metafizika; erkölcs; esszék,http://nektar.oszk.hu/hu/manifestation/540462,
Hanák Tibor,"Elfelejtett reneszánsz, Az : a magyar filozófiai gondolkodás századunk első felében",100 H27,,Göncöl,1993,filozófiatörténet; Magyarország,http://nektar.oszk.hu/hu/manifestation/37605,
Hanák Tibor,"Filozófus Lukács, A",100 H27,,Magyar Műhely,1972,Lukács György; marxista filozófia,http://nektar.oszk.hu/hu/manifestation/1441385,
Hársing László,"Tudományos megismerés és a plauzibilis következtetések logikája, A",100 H37,,Akadémiai,1971,logika; ismeretelmélet,http://nektar.oszk.hu/hu/manifestation/1262869,
"Havas Katalin, G.",Formális logika,100 H43,,Kossuth,1973,logika,http://nektar.oszk.hu/hu/manifestation/1266229,
"Heaton, John",Wittgenstein és a pszichoanalízis,100 H48,,Alexandra,2002,nyelvfilozófia; Sigmund Freud; életrajz,http://nektar.oszk.hu/hu/manifestation/940556,
"Hegel, Georg Wilhelm Friedrich","Logika tudománya, A",100 H52,,Akadémiai,1979,logika,http://nektar.oszk.hu/hu/manifestation/565020,
"Heidegger, Martin",Költőien lakozik az ember... : válogatott írások,100 H54,,T-Twins - Pompeji,1994,német filozófia; metafizika; pszichológia,http://nektar.oszk.hu/hu/manifestation/77414,
"Heidegger, Martin","Műalkotás eredete, A",100 H54,,Európa,1988,művészetfilozófia; Németország,http://nektar.oszk.hu/hu/manifestation/594120,
Heller Ágnes,Leibniz egzisztenciális metafizikája,100 H57,,Kossuth,1995,német filozófia; metafizika,http://nektar.oszk.hu/hu/manifestation/131660,
"Hobbes, Thomas","Logika, rétorika, szofisztika",100 H72,,Kossuth,1998,filozófia; Anglia,http://nektar.oszk.hu/hu/manifestation/288777,
Horváth János SJ,Physica generalis quam in usum auditorum philosophiae conscripsit Joan. Bapt. Horváth,100 H88,,Typ. Tyrnaviensibus,1776,fizika,http://nektar.oszk.hu/hu/manifestation/3094681,
Hudyma Emil,"Élet problémája, Az",100 H94,,Szt. István Társ.,1912,filozófia; biológia,http://nektar.oszk.hu/hu/manifestation/3060126,
"Huizinga, Johan","Holnap árnyékában, A : korunk kultúrális bajainak diagnózisa",100 H95,,Egyetemi Ny.,1938,kultúra; kultúrfilozófia; kultúrszociológia; civilizáció; művelődéstörténet; társadalmi etika,http://nektar.oszk.hu/hu/manifestation/1576997,
"Hume, David",David Hume összes esszéi 1-2. köt.,100 H95,,Atlantisz,1992-1994,filozófia; etika; államelmélet; politikaelmélet; hatalom; Anglia; esszék,http://nektar.oszk.hu/hu/manifestation/56249,
"Hume, David",Tanulmány az emberi értelemről,100 H95,,Nippon,1995,filozófia; Anglia; ismeretelmélet; agnoszticizmus; okság,http://nektar.oszk.hu/hu/manifestation/158663,
"Husserl, Edmund",Karteziánus elmélkedések : bevezetés a fenomenológiába,100 H97,,Atlantisz,2000,német filozófia; fenomenológia; ,http://nektar.oszk.hu/hu/manifestation/434979,
Boros Gábor (szerk.),"Individuum, közösség és jog Spinoza filozófiájában",100 I57,,Áron,2000,Baruch de Spinoza; jogfilozófia; etika; tanulmányok,http://nektar.oszk.hu/hu/manifestation/429332,
Jáki Szaniszló OSB,Eszközadta üzenet : értekezés az igazságról ,100 J18,,Jel,2002,filozófia; tanulmányok,http://nektar.oszk.hu/hu/manifestation/917867,
Jánosi József,"Bölcseleti megismerés határainak kérdése, A",100 J39,,Stephaneum Ny.,1936,jogfilozófia; ismeretelmélet,http://nektar.oszk.hu/hu/manifestation/1551536,
Jánosi József,"Szellem, A : a szellemi lét főbb jelenségei és metafizikája",100 J39,,Pázmány Péter Irod. Társ.,1935,filozófia,http://nektar.oszk.hu/hu/manifestation/1587384,
Juhász László SJ,Bölcseleti embertan : az egység jegyében,100 J91,,Detti Ny.,1978,vallásfikozófia; filozófiai antropológia; embertan; Teológiai kiskönyvtár sorozat,http://nektar.oszk.hu/hu/manifestation/1395264,
"Kant, Immanuel","Tiszta ész kritikája, A",100 K14,,Ictus,1996,német filozófia; esztétika; ismeretelmélet; logika; ,http://nektar.oszk.hu/hu/manifestation/177050,
Kecskés Pál,"Bölcselet története főbb vonásaiban, A",100 K29,,Szt. István Társ.,1944,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/2889009,
Kecskés Pál,"Bölcselet története főbb vonásaiban, A",100 K29,,Gede,2001,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/900414,
Kecskés Pál,"Bölcselet története, A",100 K29,,Szt. István Társ.,1981,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/673025,
Kerényi Károly,Platon és Aristoteles : olvasókönyv a gimnáziumok VIII. o. számára,100 K39,,Szt. István Társ.,1931,Platón; Arisztotelész; ókori filozófia; Görögország; szöveggyűjtemény; középiskolai tankönyv,http://nektar.oszk.hu/hu/manifestation/3333558,
"Kierkegaard, Soren",Sören Kierkegaard írásaiból,100 K45,,Gondolat,1982,filozófia; etika; egzisztencializmus; Dánia; tanulmányok,http://nektar.oszk.hu/hu/manifestation/659020,
"Klaus, Georg",Bevezetés a formális logikába,100 K58,,Gondolat,1963,logika,http://nektar.oszk.hu/hu/manifestation/1308142,
Kongzi (Konfuciusz),Beszélgetések és mondások,100 K68,,Szukits,1995,Kong-ce; kínai filozófia,http://nektar.oszk.hu/hu/manifestation/180781,
"Kopnyin, Pavel Vasziljevics","Dialektika, logika, tudomány",100 K69,,Kossuth,1974,marxista filozófia; tudományfilozófia; ismeretelmélet,http://nektar.oszk.hu/hu/manifestation/1268452,
Kovács Gábor,Mágia és hit,100 K77,,Szt. István Társ.,2006,vallás; okkultizmus; kritika,http://nektar.oszk.hu/hu/manifestation/2643305,
"Gelejiné Neubauer Irén - Könczei György - Erharter, Helmut (﻿szerk.﻿)",Köszöntő Nyíri Tamás 70. születésnapjára = Festschrift für Tamás Nyíri zum 70. Geburtstag,100 K91,,magánkiad.,1990,filozófia; vallásfilozófia; teológia; személyi bibliográfia; emlékkönyv; tanulmányok,http://nektar.oszk.hu/hu/manifestation/677444,
"Kuhn, Thomas S.","Tudományos forradalmak szerkezete, A",100 K97,,Osiris,2002,tudományfilozófia; tudományelmélet; tudománytörténet,http://nektar.oszk.hu/hu/manifestation/951275,
Ladányiné Boldog Erzsébet,"Magyar filozófia és darwinizmus XIX. századi történetéből, A : 1850-1875",100 L13,,Akadémiai,1986,filozófiatörténet; evolúció; természetes kiválasztódás,http://nektar.oszk.hu/hu/manifestation/574533,
"Le Dantec, Félix","Biológiai filozófia elemei, A",100 L40,,Athenaeum,1910,természetfilozófia; szociológia,http://nektar.oszk.hu/hu/manifestation/3120834,
"Leibniz, Gottfried Wilhelm",Gottfried Wilhelm Leibniz válogatott filozófiai írásai,100 L45,,Európa,1986,német filozófia; természettudomány; tanulmányok,http://nektar.oszk.hu/hu/manifestation/592697,
Lendvai L. Ferenc - Nyíri Kristóf,"Filozófia rövid története : a Védáktól Wittgensteinig, A",100 L48,,Áron - Kossuth,1995,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/157636,
Lengyel Dénes,Újkori bölcsek nyomában,100 L49,,Móra,1987,filozófiatörténet; etika; ifjúsági irodalom,http://nektar.oszk.hu/hu/manifestation/612728,
"Lhotzky, Heinrich","Emberiség jövője, Az",100 L63,,Franklin,1912,kultúra; futurológia; jövőkép; jövőkutatás,http://nektar.oszk.hu/hu/manifestation/2894517,
Lippay Lajos,Küzdelmekben az igazság felé : Szent Ágoston bölcselete : a nagy egyházatya halálának 1500 éves jubileumára,100 L69,,Élet,1930,Augustinus Aurelius; filozófia; patrisztika; ókeresztény irodalom,http://nektar.oszk.hu/hu/manifestation/1557630,
"Locke, John",Levél a vallási türelemről : Latin szöveg és magyar fordítás,100 L75,,Akadémiai,1973,filozófia; Anglia; tolerancia; forrás,http://nektar.oszk.hu/hu/manifestation/1267566,
Tamás György (szerk.),Logikai tanulmányok,100 L76,,Akadémiai,1971,filozófia; ismeretelmélet,http://nektar.oszk.hu/hu/manifestation/1321401,
"Long, Anthony Arthur",Hellenisztikus filozófia,100 L78,,Osiris,1998,filozófiatörténet; ókori filozófia; Görögország; szkepticizmus; epikureizmus; sztoicizmus,http://nektar.oszk.hu/hu/manifestation/296613,
Lukács György,Irodalom és demokrácia,100 L91,,Szikra,1948,magyar irodalom; irodalomtörténet; irodalomelmélet; esztétika; marxista filozófia; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2967501,
Szabó Ferenc SJ (vál.),Marcel önmagáról : válogatás a filozófus vallomásaiból,100 M29,,Detti Ny.,1988,filozófiatörténet; francia filozófia; hit; egzisztencializmus; önéletrajz,http://nektar.oszk.hu/hu/manifestation/811828,
"Maritain, Jacques","Filozófia alapelemei, A : Általános bevezetés a filozófiába",100 M31,,Szt. István Társ.,1986,francia filozófia; filozófiatörténet; neotomizmus,http://nektar.oszk.hu/hu/manifestation/673264,
